latitude,longitude,elevation
43.25,41.25,1921
43.5,41.25,2012
43.75,41.25,2296
44.0,41.25,2460
44.25,41.25,1467
44.5,41.25,977
44.75,41.25,755
45.75,41.25,725
46.0,41.25,375
46.25,41.25,302
46.5,41.25,458
41.75,41.5,459
42.0,41.5,1784
42.25,41.5,2347
42.5,41.5,2064
43.0,41.5,1590
43.25,41.5,1182
43.5,41.5,1680
43.75,41.5,2487
44.0,41.5,1776
44.25,41.5,903
44.5,41.5,786
44.75,41.5,506
45.0,41.5,434
45.25,41.5,559
45.5,41.5,676
45.75,41.5,565
46.0,41.5,742
46.25,41.5,223
41.75,41.75,58
42.0,41.75,1116
42.25,41.75,1429
42.5,41.75,1814
42.75,41.75,2000
43.0,41.75,1884
43.25,41.75,1500
43.5,41.75,1650
43.75,41.75,1784
44.0,41.75,2489
44.25,41.75,1818
44.5,41.75,1432
44.75,41.75,705
45.0,41.75,761
45.25,41.75,860
45.5,41.75,792
45.75,41.75,532
46.0,41.75,226
42.0,42.0,60
42.25,42.0,172
42.5,42.0,554
42.75,42.0,1285
43.0,42.0,766
43.25,42.0,593
43.5,42.0,1022
43.75,42.0,668
44.0,42.0,604
44.25,42.0,923
44.5,42.0,658
44.75,42.0,619
45.0,42.0,1041
45.25,42.0,592
45.5,42.0,380
45.75,42.0,659
46.0,42.0,2242
41.75,42.25,3
42.0,42.25,12
42.25,42.25,42
42.5,42.25,68
42.75,42.25,250
43.0,42.25,252
43.25,42.25,619
43.5,42.25,907
43.75,42.25,988
44.0,42.25,1403
44.25,42.25,1250
44.5,42.25,1174
44.75,42.25,2028
45.0,42.25,1663
45.25,42.25,1205
45.5,42.25,1953
41.75,42.5,43
42.0,42.5,214
42.25,42.5,251
42.5,42.5,1122
42.75,42.5,1162
43.0,42.5,1148
43.25,42.5,1004
43.5,42.5,1395
43.75,42.5,2064
44.0,42.5,2648
44.25,42.5,2588
44.5,42.5,2859
44.75,42.5,2298
45.0,42.5,2010
45.25,42.5,2657
45.5,42.5,2620
41.5,42.75,34
41.75,42.75,187
42.0,42.75,973
42.25,42.75,2659
42.5,42.75,2072
42.75,42.75,828
43.0,42.75,2221
43.25,42.75,1926
43.5,42.75,1679
43.75,42.75,3152
41.0,43.0,2
41.25,43.0,660
41.5,43.0,1364
41.75,43.0,1827
42.0,43.0,1587
42.25,43.0,1142
42.5,43.0,2271
42.75,43.0,1769
43.0,43.0,2644
40.5,43.25,563
40.75,43.25,1597
41.0,43.25,726
41.25,43.25,2017
41.5,43.25,1824
40.25,43.5,2025
40.5,43.5,1903
