lat,lon,landcover_code,land_type,solar_multiplier
41.25,43.25,30.0,Grassland,0.85
41.25,43.5,30.0,Grassland,0.85
41.25,43.75,30.0,Grassland,0.85
41.25,44.0,30.0,Grassland,0.85
41.25,44.25,30.0,Grassland,0.85
41.25,44.5,10.0,Tree cover,0.15
41.25,44.75,30.0,Grassland,0.85
41.25,45.75,30.0,Grassland,0.85
41.25,46.0,20.0,Shrubland,0.25
41.25,46.25,20.0,Shrubland,0.25
41.25,46.5,30.0,Grassland,0.85
41.5,41.75,10.0,Tree cover,0.15
41.5,42.0,0.0,No data,
41.5,42.25,30.0,Grassland,0.85
41.5,42.5,30.0,Grassland,0.85
41.5,43.0,10.0,Tree cover,0.15
41.5,43.25,30.0,Grassland,0.85
41.5,43.5,40.0,Cropland,0.8
41.5,43.75,30.0,Grassland,0.85
41.5,44.0,30.0,Grassland,0.85
41.5,44.25,10.0,Tree cover,0.15
41.5,44.5,30.0,Grassland,0.85
41.5,44.75,30.0,Grassland,0.85
41.5,45.0,0.0,No data,
41.5,45.25,30.0,Grassland,0.85
41.5,45.5,30.0,Grassland,0.85
41.5,45.75,40.0,Cropland,0.8
41.5,46.0,20.0,Shrubland,0.25
41.5,46.25,40.0,Cropland,0.8
41.75,41.75,10.0,Tree cover,0.15
41.75,42.0,0.0,No data,
41.75,42.25,10.0,Tree cover,0.15
41.75,42.5,10.0,Tree cover,0.15
41.75,42.75,10.0,Tree cover,0.15
41.75,43.0,10.0,Tree cover,0.15
41.75,43.25,10.0,Tree cover,0.15
41.75,43.5,10.0,Tree cover,0.15
41.75,43.75,10.0,Tree cover,0.15
41.75,44.0,30.0,Grassland,0.85
41.75,44.25,10.0,Tree cover,0.15
41.75,44.5,10.0,Tree cover,0.15
41.75,44.75,30.0,Grassland,0.85
41.75,45.0,0.0,No data,
41.75,45.25,40.0,Cropland,0.8
41.75,45.5,10.0,Tree cover,0.15
41.75,45.75,10.0,Tree cover,0.15
41.75,46.0,10.0,Tree cover,0.15
42.0,42.0,0.0,No data,
42.0,42.25,10.0,Tree cover,0.15
42.0,42.5,10.0,Tree cover,0.15
42.0,42.75,10.0,Tree cover,0.15
42.0,43.0,10.0,Tree cover,0.15
42.0,43.25,10.0,Tree cover,0.15
42.0,43.5,10.0,Tree cover,0.15
42.0,43.75,40.0,Cropland,0.8
42.0,44.0,40.0,Cropland,0.8
42.0,44.25,40.0,Cropland,0.8
42.0,44.5,30.0,Grassland,0.85
42.0,44.75,30.0,Grassland,0.85
42.0,45.0,0.0,No data,
42.0,45.25,30.0,Grassland,0.85
42.0,45.5,40.0,Cropland,0.8
42.0,45.75,10.0,Tree cover,0.15
42.0,46.0,30.0,Grassland,0.85
42.25,41.75,10.0,Tree cover,0.15
42.25,42.0,0.0,No data,
42.25,42.25,10.0,Tree cover,0.15
42.25,42.5,30.0,Grassland,0.85
42.25,42.75,10.0,Tree cover,0.15
42.25,43.0,30.0,Grassland,0.85
42.25,43.25,30.0,Grassland,0.85
42.25,43.5,30.0,Grassland,0.85
42.25,43.75,10.0,Tree cover,0.15
42.25,44.0,10.0,Tree cover,0.15
42.25,44.25,10.0,Tree cover,0.15
42.25,44.5,10.0,Tree cover,0.15
42.25,44.75,30.0,Grassland,0.85
42.25,45.0,0.0,No data,
42.25,45.25,10.0,Tree cover,0.15
42.25,45.5,10.0,Tree cover,0.15
42.5,41.75,20.0,Shrubland,0.25
42.5,42.0,0.0,No data,
42.5,42.25,10.0,Tree cover,0.15
42.5,42.5,10.0,Tree cover,0.15
42.5,42.75,10.0,Tree cover,0.15
42.5,43.0,10.0,Tree cover,0.15
42.5,43.25,10.0,Tree cover,0.15
42.5,43.5,10.0,Tree cover,0.15
42.5,43.75,30.0,Grassland,0.85
42.5,44.0,30.0,Grassland,0.85
42.5,44.25,30.0,Grassland,0.85
42.5,44.5,100.0,Moss and lichen,0.1
42.5,44.75,30.0,Grassland,0.85
42.5,45.0,0.0,No data,
42.5,45.25,30.0,Grassland,0.85
42.5,45.5,30.0,Grassland,0.85
42.75,41.5,30.0,Grassland,0.85
42.75,41.75,10.0,Tree cover,0.15
42.75,42.0,0.0,No data,
42.75,42.25,100.0,Moss and lichen,0.1
42.75,42.5,10.0,Tree cover,0.15
42.75,42.75,10.0,Tree cover,0.15
42.75,43.0,10.0,Tree cover,0.15
42.75,43.25,10.0,Tree cover,0.15
42.75,43.5,10.0,Tree cover,0.15
42.75,43.75,70.0,Snow and ice,0.0
43.0,41.0,30.0,Grassland,0.85
43.0,41.25,10.0,Tree cover,0.15
43.0,41.5,10.0,Tree cover,0.15
43.0,41.75,10.0,Tree cover,0.15
43.0,42.0,0.0,No data,
43.0,42.25,10.0,Tree cover,0.15
43.0,42.5,10.0,Tree cover,0.15
43.0,42.75,10.0,Tree cover,0.15
43.0,43.0,60.0,Bare / sparse vegetation,0.95
43.25,40.5,10.0,Tree cover,0.15
43.25,40.75,10.0,Tree cover,0.15
43.25,41.0,10.0,Tree cover,0.15
43.25,41.25,30.0,Grassland,0.85
43.25,41.5,10.0,Tree cover,0.15
43.5,40.25,10.0,Tree cover,0.15
43.5,40.5,10.0,Tree cover,0.15
