latitude,longitude,slope,aspect
41.25,43.25,10.505803,218.88449
41.25,43.5,6.4111643,38.290165
41.25,43.75,5.504755,302.00537
41.25,44.0,11.447775,23.838737
41.25,44.25,5.959938,24.443954
41.25,44.5,8.1425905,81.25384
41.25,44.75,5.187368,249.44395
41.25,45.75,9.013046,268.0251
41.25,46.0,9.415637,181.39719
41.25,46.25,3.449704,95.19443
41.25,46.5,6.9424224,3.8140793
41.5,41.75,33.629673,341.56506
41.5,42.0,26.644606,181.84761
41.5,42.25,19.405458,300.67728
41.5,42.5,13.1310835,133.3153
41.5,43.0,2.7251644,315.0
41.5,43.25,10.530619,8.841812
41.5,43.5,2.3363223,315.0
41.5,43.75,6.1455374,110.22486
41.5,44.0,7.3902535,61.38954
41.5,44.25,28.942043,333.23248
41.5,44.5,2.5470273,104.03624
41.5,44.75,2.713542,15.255112
41.5,45.0,8.199978,188.1301
41.5,45.25,4.091289,330.25513
41.5,45.5,3.890042,225.0
41.5,45.75,3.2391343,180.0
41.5,46.0,17.515009,201.37062
41.5,46.25,1.7130955,120.96376
41.75,41.75,12.720288,166.2184
41.75,42.0,26.905876,329.3814
41.75,42.25,40.93691,237.99461
41.75,42.5,25.479664,265.3999
41.75,42.75,27.334368,4.9502716
41.75,43.0,32.162117,270.49823
41.75,43.25,30.587513,357.6467
41.75,43.5,4.7394857,281.30994
41.75,43.75,16.732687,255.46555
41.75,44.0,16.34918,32.471195
41.75,44.25,9.245395,328.49573
41.75,44.5,32.940872,130.69553
41.75,44.75,15.019948,42.137596
41.75,45.0,8.530402,32.735226
41.75,45.25,6.2408447,270.0
41.75,45.5,10.678389,207.75854
41.75,45.75,15.168599,344.8989
41.75,46.0,1.1182944,333.43494
42.0,42.0,2.6700764,63.434948
42.0,42.25,0.0,-9999.0
42.0,42.5,17.36706,212.09259
42.0,42.75,25.697647,330.124
42.0,43.0,34.806698,107.037766
42.0,43.25,26.89317,260.13422
42.0,43.5,26.538837,201.529
42.0,43.75,1.650828,188.1301
42.0,44.0,2.25322,215.53767
42.0,44.25,6.2831893,167.00539
42.0,44.5,3.4231339,120.96376
42.0,44.75,10.73427,124.11447
42.0,45.0,0.0,-9999.0
42.0,45.25,9.287825,23.198593
42.0,45.5,7.3967032,183.57634
42.0,45.75,20.68926,193.2764
42.0,46.0,39.75769,352.97922
42.25,41.75,3.6348739,231.3402
42.25,42.0,1.5240409,18.434952
42.25,42.25,1.1686469,45.0
42.25,42.5,1.5240409,341.56506
42.25,42.75,3.59436,348.69006
42.25,43.0,3.7196972,151.69925
42.25,43.25,9.646141,325.88553
42.25,43.5,10.813266,217.1467
42.25,43.75,5.959938,24.443954
42.25,44.0,40.660976,305.4596
42.25,44.25,21.025757,178.19125
42.25,44.5,13.88151,357.18445
42.25,44.75,34.517345,19.772346
42.25,45.0,29.475729,10.00798
42.25,45.25,20.0457,154.65382
42.25,45.5,39.78389,191.97614
42.5,41.75,1.8522629,180.0
42.5,42.0,12.140104,100.175514
42.5,42.25,11.277399,57.52881
42.5,42.5,7.197113,238.24051
42.5,42.75,14.009347,143.97263
42.5,43.0,10.230769,268.26428
42.5,43.25,27.60816,98.972626
42.5,43.5,33.25258,2.1211014
42.5,43.75,27.727432,225.74405
42.5,44.0,21.81869,75.96376
42.5,44.25,36.340343,351.06042
42.5,44.5,18.422804,184.1849
42.5,44.75,15.808535,322.94348
42.5,45.0,28.091831,206.14685
42.5,45.25,17.470037,252.1811
42.5,45.5,35.27917,111.96056
42.75,41.5,4.4736176,74.0546
42.75,41.75,3.890042,225.0
42.75,42.0,15.698,113.19859
42.75,42.25,33.15203,213.69006
42.75,42.5,22.099607,135.95483
42.75,42.75,19.751318,123.46538
42.75,43.0,25.062662,231.91122
42.75,43.25,26.043003,97.04577
42.75,43.5,27.722574,0.0
42.75,43.75,13.283772,223.36342
43.0,41.0,3.045231,240.94539
43.0,41.25,19.43348,336.2505
43.0,41.5,33.0676,173.18564
43.0,41.75,16.914711,308.3675
43.0,42.0,28.874247,51.581944
43.0,42.25,32.161438,118.044685
43.0,42.5,32.230213,323.88065
43.0,42.75,27.101952,301.94476
43.0,43.0,29.194181,317.07
43.25,40.5,16.048462,133.63608
43.25,40.75,42.008602,176.39154
43.25,41.0,33.562008,207.07208
43.25,41.25,27.807926,13.60054
43.25,41.5,27.452913,243.17802
43.5,40.25,36.30179,28.72033
43.5,40.5,26.971882,266.92255
